aspect,base_category,MAIN_CATEGORY
digital gauge cluster,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
charging the battery,fuel / energy / charging,POWERTRAIN / PERFORMANCE
manoeuvring,steering,HANDLING / DYNAMICS
voice grins,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
feature,functionality & features,FUNCTIONAL / UTILITY FEATURES
engine pulling power,engine / power train,POWERTRAIN / PERFORMANCE
manual driving,transmission,POWERTRAIN / PERFORMANCE
cushioning,seats,INTERIOR / COMFORT / ERGONOMICS
m two,model / generic car terms,GENERAL INFORMATION
family car,body type,EXTERIOR / STYLING / DESIGN
powertrain,engine / power train,POWERTRAIN / PERFORMANCE
scuff plate,exterior materials & finish,EXTERIOR / STYLING / DESIGN
a4,model / generic car terms,GENERAL INFORMATION
steering response,steering,HANDLING / DYNAMICS
seat,seats,INTERIOR / COMFORT / ERGONOMICS
whole,generic description & miscellaneous,GENERAL INFORMATION
old v8 sound,engine / power train,POWERTRAIN / PERFORMANCE
profile,design,EMOTIONAL / SENSORY / VISUAL
turning volume with index finger,cornering,HANDLING / DYNAMICS
headspace,passenger space,INTERIOR / COMFORT / ERGONOMICS
layout,design,EMOTIONAL / SENSORY / VISUAL
internet connectivity package,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
new rs6 300d gt-r,model / generic car terms,GENERAL INFORMATION
carbon fibre engine cover,engine / power train,POWERTRAIN / PERFORMANCE
rear seat headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
portfolio,functionality & features,FUNCTIONAL / UTILITY FEATURES
automatic engine shutoff,engine / power train,POWERTRAIN / PERFORMANCE
steer,steering,HANDLING / DYNAMICS
sl c300,model / generic car terms,GENERAL INFORMATION
luxury,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
seat shape,seats,INTERIOR / COMFORT / ERGONOMICS
backseat,seats,INTERIOR / COMFORT / ERGONOMICS
panels,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
bins,storage & utility,FUNCTIONAL / UTILITY FEATURES
body panels,body class,EXTERIOR / STYLING / DESIGN
offer,value / cost,DISTANCE / MEASUREMENT /  COST
traditional amber lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
brand,generic description & miscellaneous,GENERAL INFORMATION
corner breaking,cornering,HANDLING / DYNAMICS
eight speed automatic transmission,transmission,POWERTRAIN / PERFORMANCE
corners,cornering,HANDLING / DYNAMICS
trim without extra bits,design,EMOTIONAL / SENSORY / VISUAL
new g class,model / generic car terms,GENERAL INFORMATION
type,body type,EXTERIOR / STYLING / DESIGN
handling appeal,driving dynamics / handling,HANDLING / DYNAMICS
steering turn,steering,HANDLING / DYNAMICS
full sports plus mode,driving dynamics / handling,HANDLING / DYNAMICS
x drive system,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
heavy items,boot / cargo,FUNCTIONAL / UTILITY FEATURES
fuel momentum99,fuel / energy / charging,POWERTRAIN / PERFORMANCE
audi rs,model / generic car terms,GENERAL INFORMATION
wifi speed,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
grip,traction / stability,HANDLING / DYNAMICS
shopping basket,storage & utility,FUNCTIONAL / UTILITY FEATURES
compartmentalize stuff,storage & utility,FUNCTIONAL / UTILITY FEATURES
daily traffic,road terrain,HANDLING / DYNAMICS
rear apron,boot / cargo,FUNCTIONAL / UTILITY FEATURES
rev limit,engine / power train,POWERTRAIN / PERFORMANCE
v10 engine,engine / power train,POWERTRAIN / PERFORMANCE
dynamic ability,driving dynamics / handling,HANDLING / DYNAMICS
clutch,transmission,POWERTRAIN / PERFORMANCE
drive mode,driving dynamics / handling,HANDLING / DYNAMICS
aluminium finish,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
insulation,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
petrol tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
petrol tanks,fuel / energy / charging,POWERTRAIN / PERFORMANCE
knee rest,seats,INTERIOR / COMFORT / ERGONOMICS
diffuser,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN

